Node Number=     921
         130000.000000         190000.000000             15.000000
         120000.000000         190000.000000             15.000000
         110000.000000         190000.000000             15.000000
         100000.000000         190000.000000             15.000000
          90000.000000         190000.000000             15.000000
          80000.000000         190000.000000             15.000000
          70000.000000         190000.000000             15.000000
          60000.000000         190000.000000             15.000000
          50000.000000         190000.000000             15.000000
          40000.000000         190000.000000             15.000000
          30000.000000         190000.000000             15.000000
          20000.000000         190000.000000             15.000000
          10000.000000         190000.000000             15.000000
              0.000000         190000.000000             15.000000
              0.000000         200000.000000             15.000000
              0.000000         210000.000000             15.000000
          10000.000000         210000.000000             15.000000
          20000.000000         210000.000000             15.000000
          30000.000000         210000.000000             15.000000
          40000.000000         210000.000000             15.000000
          50000.000000         210000.000000             15.000000
          60000.000000         210000.000000             15.000000
          70000.000000         210000.000000             15.000000
          80000.000000         210000.000000             15.000000
          90000.000000         210000.000000             15.000000
         100000.000000         210000.000000             15.000000
         110000.000000         210000.000000             15.000000
         120000.000000         210000.000000             15.000000
         130000.000000         210000.000000             15.000000
         140000.000000         210000.000000             15.000000
         150000.000000         210000.000000             15.000000
         160000.000000         210000.000000             15.000000
         170000.000000         210000.000000             15.000000
         180000.000000         210000.000000             15.000000
         190000.000000         210000.000000             15.000000
         200000.000000         210000.000000             17.500000
         200000.000000         220000.000000             17.500000
         200000.000000         230000.000000             17.500000
         200000.000000         240000.000000             17.500000
         200000.000000         250000.000000             17.500000
         200000.000000         260000.000000             17.500000
         200000.000000         270000.000000             17.500000
         200000.000000         280000.000000             17.500000
         200000.000000         290000.000000             17.500000
         200000.000000         300000.000000             17.500000
         200000.000000         310000.000000             17.500000
         200000.000000         320000.000000             17.500000
         200000.000000         330000.000000             17.500000
         200000.000000         340000.000000             17.500000
         200000.000000         350000.000000             17.500000
         200000.000000         360000.000000             17.500000
         200000.000000         370000.000000             17.500000
         200000.000000         380000.000000             17.500000
         200000.000000         390000.000000             17.500000
         200000.000000         400000.000000             17.500000
         210000.000000         400000.000000             20.000000
         220000.000000         400000.000000             22.500000
         230000.000000         400000.000000             25.000000
         240000.000000         400000.000000             27.500000
         250000.000000         400000.000000             30.000000
         260000.000000         400000.000000             32.500000
         270000.000000         400000.000000             35.000000
         280000.000000         400000.000000             37.500000
         290000.000000         400000.000000             40.000000
         300000.000000         400000.000000             40.000000
         310000.000000         400000.000000             40.000000
         320000.000000         400000.000000             40.000000
         330000.000000         400000.000000             40.000000
         340000.000000         400000.000000             40.000000
         350000.000000         400000.000000             40.000000
         360000.000000         400000.000000             40.000000
         370000.000000         400000.000000             40.000000
         380000.000000         400000.000000             40.000000
         390000.000000         400000.000000             40.000000
         390000.000000         390000.000000             40.000000
         390000.000000         380000.000000             40.000000
         390000.000000         370000.000000             40.000000
         390000.000000         360000.000000             40.000000
         390000.000000         350000.000000             40.000000
         390000.000000         340000.000000             40.000000
         390000.000000         330000.000000             40.000000
         390000.000000         320000.000000             40.000000
         390000.000000         310000.000000             40.000000
         390000.000000         300000.000000             40.000000
         390000.000000         290000.000000             40.000000
         390000.000000         280000.000000             40.000000
         390000.000000         270000.000000             40.000000
         390000.000000         260000.000000             40.000000
         390000.000000         250000.000000             40.000000
         390000.000000         240000.000000             40.000000
         390000.000000         230000.000000             40.000000
         390000.000000         220000.000000             40.000000
         390000.000000         210000.000000             40.000000
         390000.000000         200000.000000             40.000000
         390000.000000         190000.000000             40.000000
         390000.000000         180000.000000             40.000000
         390000.000000         170000.000000             40.000000
         390000.000000         160000.000000             40.000000
         390000.000000         150000.000000             40.000000
         390000.000000         140000.000000             40.000000
         390000.000000         130000.000000             40.000000
         390000.000000         120000.000000             40.000000
         390000.000000         110000.000000             40.000000
         390000.000000         100000.000000             40.000000
         390000.000000          90000.000000             40.000000
         390000.000000          80000.000000             40.000000
         390000.000000          70000.000000             40.000000
         390000.000000          60000.000000             40.000000
         390000.000000          50000.000000             40.000000
         390000.000000          40000.000000             40.000000
         390000.000000          30000.000000             40.000000
         390000.000000          20000.000000             40.000000
         390000.000000          10000.000000             40.000000
         380000.000000          10000.000000             40.000000
         370000.000000          10000.000000             40.000000
         360000.000000          10000.000000             40.000000
         350000.000000          10000.000000             40.000000
         340000.000000          10000.000000             40.000000
         330000.000000          10000.000000             40.000000
         320000.000000          10000.000000             40.000000
         310000.000000          10000.000000             40.000000
         300000.000000          10000.000000             40.000000
         290000.000000          10000.000000             40.000000
         280000.000000          10000.000000             37.500000
         270000.000000          10000.000000             35.000000
         260000.000000          10000.000000             32.500000
         250000.000000          10000.000000             30.000000
         240000.000000          10000.000000             27.500000
         230000.000000          10000.000000             25.000000
         220000.000000          10000.000000             22.500000
         210000.000000          10000.000000             20.000000
         210000.000000          20000.000000             20.000000
         210000.000000          30000.000000             20.000000
         210000.000000          40000.000000             20.000000
         210000.000000          50000.000000             20.000000
         210000.000000          60000.000000             20.000000
         210000.000000          70000.000000             20.000000
         210000.000000          80000.000000             20.000000
         210000.000000          90000.000000             20.000000
         210000.000000         100000.000000             20.000000
         210000.000000         110000.000000             20.000000
         210000.000000         120000.000000             20.000000
         210000.000000         130000.000000             20.000000
         210000.000000         140000.000000             20.000000
         210000.000000         150000.000000             20.000000
         210000.000000         160000.000000             20.000000
         210000.000000         170000.000000             20.000000
         210000.000000         180000.000000             20.000000
         210000.000000         190000.000000             20.000000
         200000.000000         200000.000000             17.500000
         190000.000000         200000.000000             15.000000
         180000.000000         200000.000000             15.000000
         170000.000000         200000.000000             15.000000
         160000.000000         200000.000000             15.000000
         150000.000000         200000.000000             15.000000
         140000.000000         200000.000000             15.000000
         130000.000000         200000.000000             15.000000
         120000.000000         200000.000000             15.000000
         110000.000000         200000.000000             15.000000
         100000.000000         200000.000000             15.000000
          90000.000000         200000.000000             15.000000
          80000.000000         200000.000000             15.000000
          70000.000000         200000.000000             15.000000
          60000.000000         200000.000000             15.000000
          50000.000000         200000.000000             15.000000
          40000.000000         200000.000000             15.000000
          30000.000000         200000.000000             15.000000
          20000.000000         200000.000000             15.000000
          10000.000000         200000.000000             15.000000
         210000.000000         210000.000000             20.000000
         210000.000000         220000.000000             20.000000
         210000.000000         230000.000000             20.000000
         210000.000000         240000.000000             20.000000
         210000.000000         250000.000000             20.000000
         210000.000000         260000.000000             20.000000
         210000.000000         270000.000000             20.000000
         210000.000000         280000.000000             20.000000
         210000.000000         290000.000000             20.000000
         210000.000000         300000.000000             20.000000
         210000.000000         310000.000000             20.000000
         210000.000000         320000.000000             20.000000
         210000.000000         330000.000000             20.000000
         210000.000000         340000.000000             20.000000
         210000.000000         350000.000000             20.000000
         210000.000000         360000.000000             20.000000
         210000.000000         370000.000000             20.000000
         210000.000000         380000.000000             20.000000
         210000.000000         390000.000000             20.000000
         220000.000000         390000.000000             22.500000
         230000.000000         390000.000000             25.000000
         240000.000000         390000.000000             27.500000
         250000.000000         390000.000000             30.000000
         260000.000000         390000.000000             32.500000
         270000.000000         390000.000000             35.000000
         280000.000000         390000.000000             37.500000
         290000.000000         390000.000000             40.000000
         300000.000000         390000.000000             40.000000
         310000.000000         390000.000000             40.000000
         320000.000000         390000.000000             40.000000
         330000.000000         390000.000000             40.000000
         340000.000000         390000.000000             40.000000
         350000.000000         390000.000000             40.000000
         360000.000000         390000.000000             40.000000
         370000.000000         390000.000000             40.000000
         380000.000000         390000.000000             40.000000
         380000.000000         380000.000000             40.000000
         380000.000000         370000.000000             40.000000
         380000.000000         360000.000000             40.000000
         380000.000000         350000.000000             40.000000
         380000.000000         340000.000000             40.000000
         380000.000000         330000.000000             40.000000
         380000.000000         320000.000000             40.000000
         380000.000000         310000.000000             40.000000
         380000.000000         300000.000000             40.000000
         380000.000000         290000.000000             40.000000
         380000.000000         280000.000000             40.000000
         380000.000000         270000.000000             40.000000
         380000.000000         260000.000000             40.000000
         380000.000000         250000.000000             40.000000
         380000.000000         240000.000000             40.000000
         380000.000000         230000.000000             40.000000
         380000.000000         220000.000000             40.000000
         380000.000000         210000.000000             40.000000
         380000.000000         200000.000000             40.000000
         380000.000000         190000.000000             40.000000
         380000.000000         180000.000000             40.000000
         380000.000000         170000.000000             40.000000
         380000.000000         160000.000000             40.000000
         380000.000000         150000.000000             40.000000
         380000.000000         140000.000000             40.000000
         380000.000000         130000.000000             40.000000
         380000.000000         120000.000000             40.000000
         380000.000000         110000.000000             40.000000
         380000.000000         100000.000000             40.000000
         380000.000000          90000.000000             40.000000
         380000.000000          80000.000000             40.000000
         380000.000000          70000.000000             40.000000
         380000.000000          60000.000000             40.000000
         380000.000000          50000.000000             40.000000
         380000.000000          40000.000000             40.000000
         380000.000000          30000.000000             40.000000
         380000.000000          20000.000000             40.000000
         370000.000000          20000.000000             40.000000
         360000.000000          20000.000000             40.000000
         350000.000000          20000.000000             40.000000
         340000.000000          20000.000000             40.000000
         330000.000000          20000.000000             40.000000
         320000.000000          20000.000000             40.000000
         310000.000000          20000.000000             40.000000
         300000.000000          20000.000000             40.000000
         290000.000000          20000.000000             40.000000
         280000.000000          20000.000000             37.500000
         270000.000000          20000.000000             35.000000
         260000.000000          20000.000000             32.500000
         250000.000000          20000.000000             30.000000
         240000.000000          20000.000000             27.500000
         230000.000000          20000.000000             25.000000
         220000.000000          20000.000000             22.500000
         220000.000000          30000.000000             22.500000
         220000.000000          40000.000000             22.500000
         220000.000000          50000.000000             22.500000
         220000.000000          60000.000000             22.500000
         220000.000000          70000.000000             22.500000
         220000.000000          80000.000000             22.500000
         220000.000000          90000.000000             22.500000
         220000.000000         100000.000000             22.500000
         220000.000000         110000.000000             22.500000
         220000.000000         120000.000000             22.500000
         220000.000000         130000.000000             22.500000
         220000.000000         140000.000000             22.500000
         220000.000000         150000.000000             22.500000
         220000.000000         160000.000000             22.500000
         220000.000000         170000.000000             22.500000
         220000.000000         180000.000000             22.500000
         220000.000000         190000.000000             22.500000
         220000.000000         200000.000000             22.500000
         210000.000000         200000.000000             20.000000
         220000.000000         210000.000000             22.500000
         220000.000000         220000.000000             22.500000
         220000.000000         230000.000000             22.500000
         220000.000000         240000.000000             22.500000
         220000.000000         250000.000000             22.500000
         220000.000000         260000.000000             22.500000
         220000.000000         270000.000000             22.500000
         220000.000000         280000.000000             22.500000
         220000.000000         290000.000000             22.500000
         220000.000000         300000.000000             22.500000
         220000.000000         310000.000000             22.500000
         220000.000000         320000.000000             22.500000
         220000.000000         330000.000000             22.500000
         220000.000000         340000.000000             22.500000
         220000.000000         350000.000000             22.500000
         220000.000000         360000.000000             22.500000
         220000.000000         370000.000000             22.500000
         220000.000000         380000.000000             22.500000
         230000.000000         380000.000000             25.000000
         240000.000000         380000.000000             27.500000
         250000.000000         380000.000000             30.000000
         260000.000000         380000.000000             32.500000
         270000.000000         380000.000000             35.000000
         280000.000000         380000.000000             37.500000
         290000.000000         380000.000000             40.000000
         300000.000000         380000.000000             40.000000
         310000.000000         380000.000000             40.000000
         320000.000000         380000.000000             40.000000
         330000.000000         380000.000000             40.000000
         340000.000000         380000.000000             40.000000
         350000.000000         380000.000000             40.000000
         360000.000000         380000.000000             40.000000
         370000.000000         380000.000000             40.000000
         370000.000000         370000.000000             40.000000
         370000.000000         360000.000000             40.000000
         370000.000000         350000.000000             40.000000
         370000.000000         340000.000000             40.000000
         370000.000000         330000.000000             40.000000
         370000.000000         320000.000000             40.000000
         370000.000000         310000.000000             40.000000
         370000.000000         300000.000000             40.000000
         370000.000000         290000.000000             40.000000
         370000.000000         280000.000000             40.000000
         370000.000000         270000.000000             40.000000
         370000.000000         260000.000000             40.000000
         370000.000000         250000.000000             40.000000
         370000.000000         240000.000000             40.000000
         370000.000000         230000.000000             40.000000
         370000.000000         220000.000000             40.000000
         370000.000000         210000.000000             40.000000
         370000.000000         200000.000000             40.000000
         370000.000000         190000.000000             40.000000
         370000.000000         180000.000000             40.000000
         370000.000000         170000.000000             40.000000
         370000.000000         160000.000000             40.000000
         370000.000000         150000.000000             40.000000
         370000.000000         140000.000000             40.000000
         370000.000000         130000.000000             40.000000
         370000.000000         120000.000000             40.000000
         370000.000000         110000.000000             40.000000
         370000.000000         100000.000000             40.000000
         370000.000000          90000.000000             40.000000
         370000.000000          80000.000000             40.000000
         370000.000000          70000.000000             40.000000
         370000.000000          60000.000000             40.000000
         370000.000000          50000.000000             40.000000
         370000.000000          40000.000000             40.000000
         370000.000000          30000.000000             40.000000
         360000.000000          30000.000000             40.000000
         350000.000000          30000.000000             40.000000
         340000.000000          30000.000000             40.000000
         330000.000000          30000.000000             40.000000
         320000.000000          30000.000000             40.000000
         310000.000000          30000.000000             40.000000
         300000.000000          30000.000000             40.000000
         290000.000000          30000.000000             40.000000
         280000.000000          30000.000000             37.500000
         270000.000000          30000.000000             35.000000
         260000.000000          30000.000000             32.500000
         250000.000000          30000.000000             30.000000
         240000.000000          30000.000000             27.500000
         230000.000000          30000.000000             25.000000
         230000.000000          40000.000000             25.000000
         230000.000000          50000.000000             25.000000
         230000.000000          60000.000000             25.000000
         230000.000000          70000.000000             25.000000
         230000.000000          80000.000000             25.000000
         230000.000000          90000.000000             25.000000
         230000.000000         100000.000000             25.000000
         230000.000000         110000.000000             25.000000
         230000.000000         120000.000000             25.000000
         230000.000000         130000.000000             25.000000
         230000.000000         140000.000000             25.000000
         230000.000000         150000.000000             25.000000
         230000.000000         160000.000000             25.000000
         230000.000000         170000.000000             25.000000
         230000.000000         180000.000000             25.000000
         230000.000000         190000.000000             25.000000
         230000.000000         200000.000000             25.000000
         230000.000000         210000.000000             25.000000
         230000.000000         220000.000000             25.000000
         230000.000000         230000.000000             25.000000
         230000.000000         240000.000000             25.000000
         230000.000000         250000.000000             25.000000
         230000.000000         260000.000000             25.000000
         230000.000000         270000.000000             25.000000
         230000.000000         280000.000000             25.000000
         230000.000000         290000.000000             25.000000
         230000.000000         300000.000000             25.000000
         230000.000000         310000.000000             25.000000
         230000.000000         320000.000000             25.000000
         230000.000000         330000.000000             25.000000
         230000.000000         340000.000000             25.000000
         230000.000000         350000.000000             25.000000
         230000.000000         360000.000000             25.000000
         230000.000000         370000.000000             25.000000
         240000.000000         370000.000000             27.500000
         250000.000000         370000.000000             30.000000
         260000.000000         370000.000000             32.500000
         270000.000000         370000.000000             35.000000
         280000.000000         370000.000000             37.500000
         290000.000000         370000.000000             40.000000
         300000.000000         370000.000000             40.000000
         310000.000000         370000.000000             40.000000
         320000.000000         370000.000000             40.000000
         330000.000000         370000.000000             40.000000
         340000.000000         370000.000000             40.000000
         350000.000000         370000.000000             40.000000
         360000.000000         370000.000000             40.000000
         360000.000000         360000.000000             40.000000
         360000.000000         350000.000000             40.000000
         360000.000000         340000.000000             40.000000
         360000.000000         330000.000000             40.000000
         360000.000000         320000.000000             40.000000
         360000.000000         310000.000000             40.000000
         360000.000000         300000.000000             40.000000
         360000.000000         290000.000000             40.000000
         360000.000000         280000.000000             40.000000
         360000.000000         270000.000000             40.000000
         360000.000000         260000.000000             40.000000
         360000.000000         250000.000000             40.000000
         360000.000000         240000.000000             40.000000
         360000.000000         230000.000000             40.000000
         360000.000000         220000.000000             40.000000
         360000.000000         210000.000000             40.000000
         360000.000000         200000.000000             40.000000
         360000.000000         190000.000000             40.000000
         360000.000000         180000.000000             40.000000
         360000.000000         170000.000000             40.000000
         360000.000000         160000.000000             40.000000
         360000.000000         150000.000000             40.000000
         360000.000000         140000.000000             40.000000
         360000.000000         130000.000000             40.000000
         360000.000000         120000.000000             40.000000
         360000.000000         110000.000000             40.000000
         360000.000000         100000.000000             40.000000
         360000.000000          90000.000000             40.000000
         360000.000000          80000.000000             40.000000
         360000.000000          70000.000000             40.000000
         360000.000000          60000.000000             40.000000
         360000.000000          50000.000000             40.000000
         360000.000000          40000.000000             40.000000
         350000.000000          40000.000000             40.000000
         340000.000000          40000.000000             40.000000
         330000.000000          40000.000000             40.000000
         320000.000000          40000.000000             40.000000
         310000.000000          40000.000000             40.000000
         300000.000000          40000.000000             40.000000
         290000.000000          40000.000000             40.000000
         280000.000000          40000.000000             37.500000
         270000.000000          40000.000000             35.000000
         260000.000000          40000.000000             32.500000
         250000.000000          40000.000000             30.000000
         240000.000000          40000.000000             27.500000
         240000.000000          50000.000000             27.500000
         240000.000000          60000.000000             27.500000
         240000.000000          70000.000000             27.500000
         240000.000000          80000.000000             27.500000
         240000.000000          90000.000000             27.500000
         240000.000000         100000.000000             27.500000
         240000.000000         110000.000000             27.500000
         240000.000000         120000.000000             27.500000
         240000.000000         130000.000000             27.500000
         240000.000000         140000.000000             27.500000
         240000.000000         150000.000000             27.500000
         240000.000000         160000.000000             27.500000
         240000.000000         170000.000000             27.500000
         240000.000000         180000.000000             27.500000
         240000.000000         190000.000000             27.500000
         240000.000000         200000.000000             27.500000
         240000.000000         210000.000000             27.500000
         240000.000000         220000.000000             27.500000
         240000.000000         230000.000000             27.500000
         240000.000000         240000.000000             27.500000
         240000.000000         250000.000000             27.500000
         240000.000000         260000.000000             27.500000
         240000.000000         270000.000000             27.500000
         240000.000000         280000.000000             27.500000
         240000.000000         290000.000000             27.500000
         240000.000000         300000.000000             27.500000
         240000.000000         310000.000000             27.500000
         240000.000000         320000.000000             27.500000
         240000.000000         330000.000000             27.500000
         240000.000000         340000.000000             27.500000
         240000.000000         350000.000000             27.500000
         240000.000000         360000.000000             27.500000
         250000.000000         360000.000000             30.000000
         260000.000000         360000.000000             32.500000
         270000.000000         360000.000000             35.000000
         280000.000000         360000.000000             37.500000
         290000.000000         360000.000000             40.000000
         300000.000000         360000.000000             40.000000
         310000.000000         360000.000000             40.000000
         320000.000000         360000.000000             40.000000
         330000.000000         360000.000000             40.000000
         340000.000000         360000.000000             40.000000
         350000.000000         360000.000000             40.000000
         350000.000000         350000.000000             40.000000
         350000.000000         340000.000000             40.000000
         350000.000000         330000.000000             40.000000
         350000.000000         320000.000000             40.000000
         350000.000000         310000.000000             40.000000
         350000.000000         300000.000000             40.000000
         350000.000000         290000.000000             40.000000
         350000.000000         280000.000000             40.000000
         350000.000000         270000.000000             40.000000
         350000.000000         260000.000000             40.000000
         350000.000000         250000.000000             40.000000
         350000.000000         240000.000000             40.000000
         350000.000000         230000.000000             40.000000
         350000.000000         220000.000000             40.000000
         350000.000000         210000.000000             40.000000
         350000.000000         200000.000000             40.000000
         350000.000000         190000.000000             40.000000
         350000.000000         180000.000000             40.000000
         350000.000000         170000.000000             40.000000
         350000.000000         160000.000000             40.000000
         350000.000000         150000.000000             40.000000
         350000.000000         140000.000000             40.000000
         350000.000000         130000.000000             40.000000
         350000.000000         120000.000000             40.000000
         350000.000000         110000.000000             40.000000
         350000.000000         100000.000000             40.000000
         350000.000000          90000.000000             40.000000
         350000.000000          80000.000000             40.000000
         350000.000000          70000.000000             40.000000
         350000.000000          60000.000000             40.000000
         350000.000000          50000.000000             40.000000
         340000.000000          50000.000000             40.000000
         330000.000000          50000.000000             40.000000
         320000.000000          50000.000000             40.000000
         310000.000000          50000.000000             40.000000
         300000.000000          50000.000000             40.000000
         290000.000000          50000.000000             40.000000
         280000.000000          50000.000000             37.500000
         270000.000000          50000.000000             35.000000
         260000.000000          50000.000000             32.500000
         250000.000000          50000.000000             30.000000
         250000.000000          60000.000000             30.000000
         250000.000000          70000.000000             30.000000
         250000.000000          80000.000000             30.000000
         250000.000000          90000.000000             30.000000
         250000.000000         100000.000000             30.000000
         250000.000000         110000.000000             30.000000
         250000.000000         120000.000000             30.000000
         250000.000000         130000.000000             30.000000
         250000.000000         140000.000000             30.000000
         250000.000000         150000.000000             30.000000
         250000.000000         160000.000000             30.000000
         250000.000000         170000.000000             30.000000
         250000.000000         180000.000000             30.000000
         250000.000000         190000.000000             30.000000
         250000.000000         200000.000000             30.000000
         250000.000000         210000.000000             30.000000
         250000.000000         220000.000000             30.000000
         250000.000000         230000.000000             30.000000
         250000.000000         240000.000000             30.000000
         250000.000000         250000.000000             30.000000
         250000.000000         260000.000000             30.000000
         250000.000000         270000.000000             30.000000
         250000.000000         280000.000000             30.000000
         250000.000000         290000.000000             30.000000
         250000.000000         300000.000000             30.000000
         250000.000000         310000.000000             30.000000
         250000.000000         320000.000000             30.000000
         250000.000000         330000.000000             30.000000
         250000.000000         340000.000000             30.000000
         250000.000000         350000.000000             30.000000
         260000.000000         350000.000000             32.500000
         270000.000000         350000.000000             35.000000
         280000.000000         350000.000000             37.500000
         290000.000000         350000.000000             40.000000
         300000.000000         350000.000000             40.000000
         310000.000000         350000.000000             40.000000
         320000.000000         350000.000000             40.000000
         330000.000000         350000.000000             40.000000
         340000.000000         350000.000000             40.000000
         340000.000000         340000.000000             40.000000
         340000.000000         330000.000000             40.000000
         340000.000000         320000.000000             40.000000
         340000.000000         310000.000000             40.000000
         340000.000000         300000.000000             40.000000
         340000.000000         290000.000000             40.000000
         340000.000000         280000.000000             40.000000
         340000.000000         270000.000000             40.000000
         340000.000000         260000.000000             40.000000
         340000.000000         250000.000000             40.000000
         340000.000000         240000.000000             40.000000
         340000.000000         230000.000000             40.000000
         340000.000000         220000.000000             40.000000
         340000.000000         210000.000000             40.000000
         340000.000000         200000.000000             40.000000
         340000.000000         190000.000000             40.000000
         340000.000000         180000.000000             40.000000
         340000.000000         170000.000000             40.000000
         340000.000000         160000.000000             40.000000
         340000.000000         150000.000000             40.000000
         340000.000000         140000.000000             40.000000
         340000.000000         130000.000000             40.000000
         340000.000000         120000.000000             40.000000
         340000.000000         110000.000000             40.000000
         340000.000000         100000.000000             40.000000
         340000.000000          90000.000000             40.000000
         340000.000000          80000.000000             40.000000
         340000.000000          70000.000000             40.000000
         340000.000000          60000.000000             40.000000
         330000.000000          60000.000000             40.000000
         320000.000000          60000.000000             40.000000
         310000.000000          60000.000000             40.000000
         300000.000000          60000.000000             40.000000
         290000.000000          60000.000000             40.000000
         280000.000000          60000.000000             37.500000
         270000.000000          60000.000000             35.000000
         260000.000000          60000.000000             32.500000
         260000.000000          70000.000000             32.500000
         260000.000000          80000.000000             32.500000
         260000.000000          90000.000000             32.500000
         260000.000000         100000.000000             32.500000
         260000.000000         110000.000000             32.500000
         260000.000000         120000.000000             32.500000
         260000.000000         130000.000000             32.500000
         260000.000000         140000.000000             32.500000
         260000.000000         150000.000000             32.500000
         260000.000000         160000.000000             32.500000
         260000.000000         170000.000000             32.500000
         260000.000000         180000.000000             32.500000
         260000.000000         190000.000000             32.500000
         260000.000000         200000.000000             32.500000
         260000.000000         210000.000000             32.500000
         260000.000000         220000.000000             32.500000
         260000.000000         230000.000000             32.500000
         260000.000000         240000.000000             32.500000
         260000.000000         250000.000000             32.500000
         260000.000000         260000.000000             32.500000
         260000.000000         270000.000000             32.500000
         260000.000000         280000.000000             32.500000
         260000.000000         290000.000000             32.500000
         260000.000000         300000.000000             32.500000
         260000.000000         310000.000000             32.500000
         260000.000000         320000.000000             32.500000
         260000.000000         330000.000000             32.500000
         260000.000000         340000.000000             32.500000
         270000.000000         340000.000000             35.000000
         280000.000000         340000.000000             37.500000
         290000.000000         340000.000000             40.000000
         300000.000000         340000.000000             40.000000
         310000.000000         340000.000000             40.000000
         320000.000000         340000.000000             40.000000
         330000.000000         340000.000000             40.000000
         330000.000000         330000.000000             40.000000
         330000.000000         320000.000000             40.000000
         330000.000000         310000.000000             40.000000
         330000.000000         300000.000000             40.000000
         330000.000000         290000.000000             40.000000
         330000.000000         280000.000000             40.000000
         330000.000000         270000.000000             40.000000
         330000.000000         260000.000000             40.000000
         330000.000000         250000.000000             40.000000
         330000.000000         240000.000000             40.000000
         330000.000000         230000.000000             40.000000
         330000.000000         220000.000000             40.000000
         330000.000000         210000.000000             40.000000
         330000.000000         200000.000000             40.000000
         330000.000000         190000.000000             40.000000
         330000.000000         180000.000000             40.000000
         330000.000000         170000.000000             40.000000
         330000.000000         160000.000000             40.000000
         330000.000000         150000.000000             40.000000
         330000.000000         140000.000000             40.000000
         330000.000000         130000.000000             40.000000
         330000.000000         120000.000000             40.000000
         330000.000000         110000.000000             40.000000
         330000.000000         100000.000000             40.000000
         330000.000000          90000.000000             40.000000
         330000.000000          80000.000000             40.000000
         330000.000000          70000.000000             40.000000
         320000.000000          70000.000000             40.000000
         310000.000000          70000.000000             40.000000
         300000.000000          70000.000000             40.000000
         290000.000000          70000.000000             40.000000
         280000.000000          70000.000000             37.500000
         270000.000000          70000.000000             35.000000
         270000.000000          80000.000000             35.000000
         270000.000000          90000.000000             35.000000
         270000.000000         100000.000000             35.000000
         270000.000000         110000.000000             35.000000
         270000.000000         120000.000000             35.000000
         270000.000000         130000.000000             35.000000
         270000.000000         140000.000000             35.000000
         270000.000000         150000.000000             35.000000
         270000.000000         160000.000000             35.000000
         270000.000000         170000.000000             35.000000
         270000.000000         180000.000000             35.000000
         270000.000000         190000.000000             35.000000
         270000.000000         200000.000000             35.000000
